code,parent_code,name,medical_reasoning
"3A60.1,3A60,Hereditary pure red cell aplasia",,,"The available features include key hematological parameters such as red blood cell count (LBXRBCSI), hemoglobin (LBXHGB), hematocrit (LBXHCT), and red cell distribution width (LBXRDW), which are essential for screening red cell aplasia. These features can help identify abnormalities in red blood cell production and support a probabilistic model for assessing the likelihood of hereditary pure red cell aplasia."
"3A60.Z,3A60,""Congenital pure red cell aplasia, unspecified""",,,"The available features include key hematological parameters such as red blood cell count (LBXRBCSI), hemoglobin (LBXHGB), hematocrit (LBXHCT), and red cell distribution width (LBXRDW), which are essential for screening congenital pure red cell aplasia. These features can help identify anemia and abnormal red cell indices, which are indicative of this condition."
"3A61.0,3A61,Acute acquired pure red cell aplasia",,,"The available features include key hematological parameters such as red blood cell count (LBXRBCSI), hemoglobin (LBXHGB), hematocrit (LBXHCT), and red cell distribution width (LBXRDW), which are essential for screening acute acquired pure red cell aplasia. These features can help identify significant anemia and changes in red cell production, which are indicative of the disease."
"3A61.1,3A61,Chronic acquired pure red cell aplasia",,,"The available features include key hematological parameters such as red blood cell count (LBXRBCSI), hemoglobin (LBXHGB), hematocrit (LBXHCT), and red cell distribution width (LBXRDW), which are essential for screening and assessing red cell aplasia. These features can help identify anemia and changes in red cell production, which are critical in evaluating chronic acquired pure red cell aplasia."
"3A61.Y,3A61,Other specified acquired pure red cell aplasia",,,"The available features include key hematological parameters such as red blood cell count (LBXRBCSI), hemoglobin (LBXHGB), hematocrit (LBXHCT), and red cell distribution width (LBXRDW), which are essential for screening pure red cell aplasia. These features can help identify anemia and changes in red blood cell production, which are critical for assessing this condition."
"3A61.Z,3A61,""Acquired pure red cell aplasia, unspecified""",,,"The available features include key hematological parameters such as red blood cell count (LBXRBCSI), hemoglobin (LBXHGB), hematocrit (LBXHCT), and red cell distribution width (LBXRDW), which are essential for screening and assessing anemia, including conditions like acquired pure red cell aplasia. These features can help identify significant deviations from normal values indicative of the disease."
"3A70.0,3A70,Congenital aplastic anaemia",,,"The available features include key hematological parameters such as white blood cell count (LBXWBCSI), red blood cell count (LBXRBCSI), hemoglobin (LBXHGB), hematocrit (LBXHCT), and platelet count (LBXPLTSI), which can help identify cytopenias characteristic of congenital aplastic anemia. These features can be used to build a probabilistic model to assess the likelihood of the disease."
"3A70.1,3A70,Acquired aplastic anaemias",,,"The available features include key hematological parameters such as white blood cell count (LBXWBCSI), red blood cell count (LBXRBCSI), hemoglobin (LBXHGB), hematocrit (LBXHCT), and platelet count (LBXPLTSI), which are essential for screening aplastic anemia. These features can help identify cytopenias characteristic of the disease, thus enabling a probabilistic model for screening."
"3A70.10,3A70,Drug-induced aplastic anaemia",,,"The available features include key hematological parameters such as white blood cell count (LBXWBCSI), red blood cell count (LBXRBCSI), hemoglobin (LBXHGB), hematocrit (LBXHCT), and platelet count (LBXPLTSI), which can help identify cytopenias characteristic of drug-induced aplastic anemia. However, the absence of specific drug exposure history or genetic markers limits the assessment's precision."
"3A70.11,3A70,Aplastic anaemia due to other external agents",,,"Aplastic anemia can be screened using features such as white blood cell count (LBXWBCSI), red blood cell count (LBXRBCSI), hemoglobin (LBXHGB), hematocrit (LBXHCT), and platelet count (LBXPLTSI). These hematological parameters can indicate cytopenias characteristic of aplastic anemia. However, the absence of specific tests for bone marrow function or exposure history limits the assessment's precision."
"3A70.12,3A70,Idiopathic aplastic anaemia",,,"Key hematological features such as white blood cell count (LBXWBCSI), red blood cell count (LBXRBCSI), hemoglobin (LBXHGB), hematocrit (LBXHCT), and platelet count (LBXPLTSI) are available, which can help identify cytopenias characteristic of aplastic anemia. However, the absence of bone marrow analysis or specific genetic markers limits definitive diagnosis but does not preclude screening for likelihood assessment."
"3A70.1Y,3A70,Other specified acquired aplastic anaemias",,,"The available features include key hematological parameters such as white blood cell count (LBXWBCSI), red blood cell count (LBXRBCSI), hemoglobin (LBXHGB), hematocrit (LBXHCT), and platelet count (LBXPLTSI), which can help identify cytopenias characteristic of aplastic anemia. These features can be used to screen for the likelihood of the disease by assessing peripheral blood counts and morphology, which are critical in diagnosing aplastic anemia."
"3A70.1Z,3A70,""Acquired aplastic anaemias, unspecified""",,,"Key hematological parameters such as white blood cell count (LBXWBCSI), red blood cell count (LBXRBCSI), hemoglobin (LBXHGB), hematocrit (LBXHCT), and platelet count (LBXPLTSI) are available, which can help identify cytopenias characteristic of acquired aplastic anemia."
"3A70.Z,3A70,""Aplastic anaemia, unspecified""",,,"Aplastic anemia can be screened using features such as white blood cell count (LBXWBCSI), red blood cell count (LBXRBCSI), hemoglobin (LBXHGB), hematocrit (LBXHCT), and platelet count (LBXPLTSI). These hematological parameters can indicate cytopenias characteristic of aplastic anemia, allowing for a meaningful assessment of disease likelihood."
"3A71.0,3A71,Anaemia in neoplastic disease",,,"The available features include key hematological parameters such as hemoglobin (LBXHGB), red blood cell count (LBXRBCSI), hematocrit (LBXHCT), and red cell distribution width (LBXRDW), which are essential for screening anemia. Additionally, the presence of white blood cell count (LBXWBCSI) and other blood cell parameters can help assess the underlying neoplastic process. However, the absence of specific markers for neoplastic disease (e.g., tumor markers or imaging) limits the specificity of the assessment."
"3A71.1,3A71,Anaemia in chronic infectious diseases",,,"The available features include key hematological parameters such as hemoglobin (LBXHGB), red blood cell count (LBXRBCSI), hematocrit (LBXHCT), and red cell distribution width (LBXRDW), which are essential for screening anemia. Additionally, white blood cell count (LBXWBCSI) and differential counts can help assess underlying infectious processes contributing to chronic anemia."
"3A71.2,3A71,Anaemia in chronic kidney disease",,,"Key hematological parameters such as hemoglobin (LBXHGB), red blood cell count (LBXRBCSI), hematocrit (LBXHCT), and red cell distribution width (LBXRDW) are available, which are essential for screening anemia. Additionally, creatinine (LBXSCR) is crucial for assessing kidney function, which is directly related to anemia in chronic kidney disease."
"3A71.Y,3A71,Anaemia due to other specified chronic disease",,,"The available features include key hematological parameters such as hemoglobin (LBXHGB), hematocrit (LBXHCT), red blood cell count (LBXRBCSI), and red cell distribution width (LBXRDW), which are essential for screening anemia. Additionally, the presence of white blood cell count (LBXWBCSI) and other blood cell parameters can help assess underlying chronic diseases contributing to anemia."
"3A71.Z,3A71,""Anaemia due to chronic disease, unspecified""",,,"The available features include key hematological parameters such as hemoglobin (LBXHGB), hematocrit (LBXHCT), red blood cell count (LBXRBCSI), and red cell distribution width (LBXRDW), which are essential for screening anemia. Additionally, the presence of inflammatory markers like albumin (LBXSAL) can help assess chronic disease status, making it feasible to screen for anemia due to chronic disease."
"3A72.0,3A72,Congenital sideroblastic anaemias",,,"The available features include key hematological parameters such as hemoglobin (LBXHGB), red blood cell count (LBXRBCSI), mean cell volume (LBXMCVSI), and red cell distribution width (LBXRDW), which are essential for screening and assessing anemia, including congenital sideroblastic anemias. However, the absence of specific iron studies (e.g., serum ferritin, transferrin saturation) limits the ability to fully characterize the iron metabolism abnormalities typically associated with this condition. Despite this, the existing features can still provide a reasonable basis for screening."
"3A72.00,3A72,Hereditary sideroblastic anaemias",,,"The available features include key hematological parameters such as hemoglobin (LBXHGB), red blood cell count (LBXRBCSI), mean cell volume (LBXMCVSI), and red cell distribution width (LBXRDW), which are essential for screening and assessing anemia, including hereditary sideroblastic anemias. However, the absence of specific iron studies (e.g., serum ferritin, transferrin saturation) limits the ability to definitively diagnose the type of anemia, but screening for anemia is still feasible."
"3A72.0Y,3A72,Other specified congenital sideroblastic anaemias",,,"The available features include key hematological parameters such as hemoglobin (LBXHGB), red blood cell count (LBXRBCSI), mean cell volume (LBXMCVSI), and red cell distribution width (LBXRDW), which are essential for screening and assessing anemia, including congenital sideroblastic anemia. However, the absence of specific iron studies (e.g., serum ferritin, transferrin saturation) limits the ability to fully characterize the iron metabolism abnormalities typically associated with sideroblastic anemia. Despite this, the existing features can still provide a reasonable basis for screening."
"3A72.0Z,3A72,""Congenital sideroblastic anaemias, unspecified""",,,"The available features include key hematological parameters such as hemoglobin (LBXHGB), red blood cell count (LBXRBCSI), mean cell volume (LBXMCVSI), and red cell distribution width (LBXRDW), which are essential for screening and assessing anemia, including congenital sideroblastic anemia. However, the absence of specific iron studies (e.g., serum ferritin, transferrin saturation) limits the ability to fully characterize the iron metabolism abnormalities typically associated with this condition. Despite this limitation, the existing features can still provide a reasonable basis for screening."
"3A72.1,3A72,Acquired sideroblastic anaemias",,,"The available features include key hematological parameters such as hemoglobin (LBXHGB), red blood cell count (LBXRBCSI), mean cell volume (LBXMCVSI), and red cell distribution width (LBXRDW), which are essential for screening anemia, including acquired sideroblastic anemias. However, the absence of specific iron studies (e.g., serum ferritin, transferrin saturation) limits the ability to definitively assess iron metabolism abnormalities typically associated with sideroblastic anemia. Despite this, the existing features can still provide a reasonable basis for initial screening and likelihood assessment."
"3A72.Z,3A72,""Sideroblastic anaemia, unspecified""",,,"Key hematological features such as hemoglobin (LBXHGB), red blood cell count (LBXRBCSI), mean cell volume (LBXMCVSI), and red cell distribution width (LBXRDW) are available, which can help identify abnormalities associated with sideroblastic anemia. However, iron studies (e.g., serum iron, ferritin) are not listed, which are typically crucial for a definitive assessment of sideroblastic anemia. Despite this, the available features can still provide a reasonable basis for screening."
"3A80.0,3A80,Primary inherited erythrocytosis",,,"The available features include key hematological parameters such as red blood cell count (LBXRBCSI), hemoglobin (LBXHGB), and hematocrit (LBXHCT), which are essential for screening erythrocytosis. These features can help identify elevated red cell mass indicative of primary inherited erythrocytosis."
"3A80.Y,3A80,Other specified congenital polycythaemia",,,"The available features include key hematological parameters such as red blood cell count (LBXRBCSI), hemoglobin (LBXHGB), and hematocrit (LBXHCT), which are essential for screening polycythemia. These features can help identify elevated red cell mass indicative of congenital polycythemia."
"3A80.Z,3A80,""Congenital polycythaemia, unspecified""",,,"The available features include key hematological parameters such as red blood cell count (LBXRBCSI), hemoglobin (LBXHGB), and hematocrit (LBXHCT), which are essential for screening polycythemia. These features can help identify elevated red cell mass indicative of congenital polycythemia."
"3A81.0,3A81,""Polycythaemia due to hypoxia, including high altitude""",,,"The available features include key hematological parameters such as red blood cell count (LBXRBCSI), hemoglobin (LBXHGB), and hematocrit (LBXHCT), which are essential for identifying polycythemia. Additionally, demographic features like age (RIDAGEYR) and gender (RIAGENDR) can help stratify risk. However, the absence of direct measures of oxygen saturation or altitude exposure limits the assessment's specificity. Nonetheless, the hematological features allow for a reasonable screening approach for polycythemia due to hypoxia."
"3A81.1,3A81,Polycythaemia due to over-transfusion or blood doping",,,"The available features include key hematological parameters such as red blood cell count (LBXRBCSI), hemoglobin (LBXHGB), and hematocrit (LBXHCT), which are essential for identifying polycythemia. These features can help assess the likelihood of polycythemia due to over-transfusion or blood doping, as they provide critical information on erythrocyte mass and oxygen-carrying capacity."
"3A81.2,3A81,Relative polycythaemia",,,"Relative polycythemia can be assessed using available features such as red blood cell count (LBXRBCSI), hemoglobin (LBXHGB), and hematocrit (LBXHCT), which are critical for evaluating erythrocytosis. These features allow for the identification of elevated red cell mass, a key indicator of the condition."
"3A81.Y,3A81,Other specified acquired polycythaemia",,,"The available features include key hematological parameters such as red blood cell count (LBXRBCSI), hemoglobin (LBXHGB), and hematocrit (LBXHCT), which are essential for screening polycythemia. These features can help identify elevated red cell mass indicative of polycythemia, thus allowing for a meaningful assessment of disease likelihood."
"3A81.Z,3A81,""Acquired polycythaemia, unspecified""",,,"The available features include key hematological parameters such as red blood cell count (LBXRBCSI), hemoglobin (LBXHGB), and hematocrit (LBXHCT), which are essential for screening polycythemia. These features can help identify elevated red cell mass indicative of acquired polycythemia."
"3A8Z,3A8Z,""Polycythaemia, unspecified""",,,"Key hematological parameters such as red blood cell count (LBXRBCSI), hemoglobin (LBXHGB), and hematocrit (LBXHCT) are available, which are essential for screening polycythaemia. These features can help identify elevated red cell mass indicative of the condition."
"3A90,3A90,Anaemia due to acute disease",,,"The available features include key hematological parameters such as hemoglobin (LBXHGB), hematocrit (LBXHCT), red blood cell count (LBXRBCSI), and white blood cell count (LBXWBCSI), which are essential for screening anemia. These features can help identify acute disease-related anemia by assessing changes in these values, thus allowing for a meaningful screening process."
"3A94,3A94,Acute posthaemorrhagic anaemia",,,"The available features include key hematological parameters such as hemoglobin (LBXHGB), hematocrit (LBXHCT), red blood cell count (LBXRBCSI), and red cell distribution width (LBXRDW), which are essential for screening and assessing anemia. These features can help identify acute posthaemorrhagic anemia by indicating low hemoglobin levels and changes in red blood cell indices."
"3A9Y,3A9Y,Other specified anaemias or erythrocyte disorders",,,"The available features include key hematological parameters such as hemoglobin (LBXHGB), red blood cell count (LBXRBCSI), hematocrit (LBXHCT), mean cell volume (LBXMCVSI), and red cell distribution width (LBXRDW), which are essential for screening various anemias. These features can help assess the likelihood of anemia and differentiate between types, thus enabling a meaningful screening process."
"3A9Z,3A9Z,""Anaemias or other erythrocyte disorders, unspecified""",,,"The available features include key hematological parameters such as hemoglobin (LBXHGB), hematocrit (LBXHCT), red blood cell count (LBXRBCSI), and red cell distribution width (LBXRDW), which are essential for screening various anemias. These features can help assess erythrocyte disorders and provide a basis for further evaluation."
"3B62.0,3B62,Inherited qualitative platelet defects",,,"The available features include platelet count (LBXPLTSI) and mean platelet volume (LBXMPSI), which are critical for assessing qualitative platelet defects. These features can help identify abnormalities in platelet function and morphology, allowing for a meaningful screening approach."
"3B62.01,3B62,Inherited giant platelet disorder",,,"The available features include platelet count (LBXPLTSI) and mean platelet volume (LBXMPSI), which are critical for screening inherited giant platelet disorders. These features can help identify abnormalities in platelet size and number, which are key indicators of the condition. Other hematological parameters such as white blood cell count and red blood cell indices may also provide supportive information."
"3B62.0Y,3B62,Other specified inherited qualitative platelet defects",,,"The available features include platelet count (LBXPLTSI) and mean platelet volume (LBXMPSI), which are critical for assessing qualitative platelet defects. These features can help identify abnormalities in platelet function and morphology, allowing for a meaningful screening approach for inherited qualitative platelet defects."
"3B62.0Z,3B62,Inherited qualitative platelet defects, unspecified",,,"The available features include platelet count (LBXPLTSI) and mean platelet volume (LBXMPSI), which are critical for assessing platelet function and identifying qualitative platelet defects. These features can help differentiate between normal and abnormal platelet function, thus enabling screening for inherited qualitative platelet defects."
"3B62.2,3B62,Isolated thrombocytopenia",,,"The available features include platelet count (LBXPLTSI) and mean platelet volume (LBXMPSI), which are critical for assessing thrombocytopenia. Additionally, the complete blood count parameters (e.g., white blood cell count, hemoglobin) can help rule out other hematological conditions. Thus, a screening model can be constructed to assess the likelihood of isolated thrombocytopenia."
"3B62.5,3B62,Haemophagocytic syndrome associated with infection",,,"The available features include key hematological parameters such as white blood cell count (LBXWBCSI), lymphocyte percent (LBXLYPCT), and monocyte percent (LBXMOPCT), which are critical for identifying hemophagocytic syndrome. These features can help assess the likelihood of the syndrome by indicating immune activation and cytopenias associated with infections. However, the absence of specific infectious markers or imaging studies limits the depth of assessment."
"3B62.Y,3B62,Other specified qualitative platelet defects",,,"The available features include platelet count (LBXPLTSI) and mean platelet volume (LBXMPSI), which are essential for assessing qualitative platelet defects. These features can help identify abnormalities in platelet function and morphology, allowing for a meaningful screening approach."
"3B62.Z,3B62,Qualitative platelet defects, unspecified",,,"The available features include platelet count (LBXPLTSI) and mean platelet volume (LBXMPSI), which are essential for assessing qualitative platelet defects. These features can help identify abnormalities in platelet function and morphology, allowing for a meaningful screening approach."
"3B63.0,3B63,Congenital thrombocytosis",,,"The available features include platelet count (LBXPLTSI) and mean platelet volume (LBXMPSI), which are critical for assessing thrombocytosis. These features can help identify elevated platelet levels indicative of congenital thrombocytosis, allowing for a meaningful screening approach."
"3B63.1,3B63,Acquired thrombocytosis",,,"The available features include platelet count (LBXPLTSI) and mean platelet volume (LBXMPSI), which are critical for assessing thrombocytosis. Additionally, white blood cell count (LBXWBCSI) can help differentiate between reactive and primary causes of thrombocytosis, thus enabling a meaningful screening approach."
"3B63.10,3B63,Secondary thrombocytosis",,,"Secondary thrombocytosis can be assessed using the platelet count (LBXPLTSI) and other hematological parameters such as white blood cell count (LBXWBCSI) and red blood cell indices. These features allow for the identification of thrombocytosis and potential underlying causes, thus enabling screening and likelihood assessment."
"3B63.1Y,3B63,Other specified acquired thrombocytosis",,,"The available features include platelet count (LBXPLTSI) and mean platelet volume (LBXMPSI), which are critical for assessing thrombocytosis. Additionally, white blood cell count (LBXWBCSI) and other hematological parameters can help differentiate the underlying causes of thrombocytosis, thus enabling a meaningful screening approach."
"3B63.1Z,3B63,""Acquired thrombocytosis, unspecified""",,,"The available features include platelet count (LBXPLTSI) and mean platelet volume (LBXMPSI), which are critical for assessing thrombocytosis. Additionally, white blood cell count (LBXWBCSI) can help differentiate between reactive and primary causes of thrombocytosis. Other hematological parameters such as hemoglobin (LBXHGB) and red blood cell count (LBXRBCSI) can provide further context. No essential signals are missing for screening."
"3B63.Y,3B63,Other specified thrombocytosis",,,"The available features include platelet count (LBXPLTSI) and mean platelet volume (LBXMPSI), which are critical for assessing thrombocytosis. Additionally, white blood cell count (LBXWBCSI) can help rule out other hematological conditions. These features can be used to build a probabilistic model for screening thrombocytosis."
"3B63.Z,3B63,""Thrombocytosis, unspecified""",,,"The available features include platelet count (LBXPLTSI) and mean platelet volume (LBXMPSI), which are critical for assessing thrombocytosis. Additionally, white blood cell count (LBXWBCSI) and other hematological parameters can help differentiate causes of thrombocytosis, allowing for a meaningful screening approach."
"3B64.0,3B64,Congenital thrombocytopenia",,,"The available features include platelet count (LBXPLTSI) and mean platelet volume (LBXMPSI), which are critical for assessing thrombocytopenia. Additionally, the complete blood count parameters (e.g., white blood cell count, red blood cell count) can help rule out other hematological conditions. However, genetic testing or specific markers for congenital thrombocytopenia are not available, but the existing features allow for a reasonable screening approach."
"3B64.00,3B64,Congenital non-inherited thrombocytopenia",,,"The available features include platelet count (LBXPLTSI) and mean platelet volume (LBXMPSI), which are critical for assessing thrombocytopenia. These features can help identify low platelet levels indicative of congenital non-inherited thrombocytopenia, allowing for a meaningful screening approach."
"3B64.01,3B64,Hereditary thrombocytopenia",,,"The available features include platelet count (LBXPLTSI) and mean platelet volume (LBXMPSI), which are critical for assessing thrombocytopenia. These features can help identify low platelet levels indicative of hereditary thrombocytopenia, allowing for a meaningful screening approach."
"3B64.0Z,3B64,""Congenital thrombocytopenia, unspecified""",,,"The available features include platelet count (LBXPLTSI) and mean platelet volume (LBXMPSI), which are critical for assessing thrombocytopenia. These features can help identify low platelet levels indicative of congenital thrombocytopenia, allowing for a meaningful screening approach."
"3B64.1,3B64,Acquired thrombocytopenia",,,"The available features include platelet count (LBXPLTSI) and mean platelet volume (LBXMPSI), which are critical for assessing thrombocytopenia. Additionally, white blood cell count (LBXWBCSI) and other hematological parameters can help differentiate causes of acquired thrombocytopenia, allowing for a meaningful screening approach."
"3B64.10,3B64,Immune thrombocytopenic purpura",,,"The available features include platelet count (LBXPLTSI) and mean platelet volume (LBXMPSI), which are critical for assessing thrombocytopenia in immune thrombocytopenic purpura (ITP). Additionally, white blood cell count (LBXWBCSI) and hemoglobin (LBXHGB) can help rule out other hematological conditions. These features can support a probabilistic model for screening ITP."
"3B64.11,3B64,Secondary thrombocytopenic purpura",,,"The available features include platelet count (LBXPLTSI) and mean platelet volume (LBXMPSI), which are critical for assessing thrombocytopenia. Additionally, white blood cell count (LBXWBCSI) and other hematological parameters can help differentiate causes of secondary thrombocytopenic purpura."
"3B64.12,3B64,Drug-induced thrombocytopenic purpura",,,"The available features include platelet count (LBXPLTSI) and mean platelet volume (LBXMPSI), which are critical for assessing thrombocytopenia. Additionally, white blood cell count (LBXWBCSI) and other hematological parameters can help evaluate the overall blood profile, supporting the screening for drug-induced thrombocytopenic purpura."
"3B64.1Y,3B64,Other specified acquired thrombocytopenia",,,"The available features include platelet count (LBXPLTSI) and mean platelet volume (LBXMPSI), which are critical for assessing thrombocytopenia. Additionally, white blood cell count (LBXWBCSI) and other hematological parameters can help differentiate causes of thrombocytopenia, thus enabling a meaningful screening approach."
"3B64.Z,3B64,""Thrombocytopenia, unspecified""",,,"The available features include platelet count (LBXPLTSI) and mean platelet volume (LBXMPSI), which are critical for assessing thrombocytopenia. Additionally, white blood cell count (LBXWBCSI) and other hematological parameters can help differentiate causes of thrombocytopenia, allowing for a meaningful screening approach."
"3B6Z,3B6Z,""Coagulation defects, purpura or other haemorrhagic or related conditions, unspecified""",,,"The available features include key hematological parameters such as platelet count (LBXPLTSI), hemoglobin (LBXHGB), and white blood cell count (LBXWBCSI), which can help identify coagulation defects and related hemorrhagic conditions. However, the absence of specific coagulation factors or tests (e.g., PT, aPTT, or specific factor assays) limits the ability to fully characterize the coagulation status. Nonetheless, the existing features can still provide a reasonable basis for screening and assessing likelihood."
"3B81.70,3B81,Acute septic splenitis",,,"The available features include key hematological parameters such as white blood cell count (LBXWBCSI), lymphocyte percent (LBXLYPCT), and neutrophil percent (LBXNEPCT), which are critical for identifying infections and inflammatory processes like acute septic splenitis. These features can help establish a likelihood assessment for the disease based on typical laboratory findings associated with sepsis."
"3B81.7Z,3B81,""Infection of spleen, unspecified""",,,"The available features include key hematological parameters such as white blood cell count (LBXWBCSI), lymphocyte percent (LBXLYPCT), and monocyte percent (LBXMOPCT), which can indicate an infection. These features can help in screening for splenic infections by assessing the immune response and inflammatory markers, thus allowing for a probabilistic model to estimate disease likelihood."
"3B81.B,3B81,Hypersplenism",,,"Key hematological features such as white blood cell count (LBXWBCSI), red blood cell count (LBXRBCSI), hemoglobin (LBXHGB), hematocrit (LBXHCT), and platelet count (LBXPLTSI) are available, which can help assess splenic function and potential hypersplenism. However, the absence of direct measures of splenic size or function limits the assessment's specificity."
"3B81.Z,3B81,""Acquired disorders of spleen, unspecified""",,,"The available features include key hematological parameters such as white blood cell count (LBXWBCSI), lymphocyte percent (LBXLYPCT), and hemoglobin (LBXHGB), which can indicate splenic dysfunction or disorders. These features can help in screening for acquired disorders of the spleen by assessing blood cell counts and morphology, which are relevant in evaluating splenic function."
"3B8Z,3B8Z,""Diseases of spleen, unspecified""",,,"The available features include key hematological parameters such as white blood cell count (LBXWBCSI), lymphocyte percent (LBXLYPCT), and lactate dehydrogenase (LBXSLDSI), which can indicate splenic dysfunction or disease. These features can help in screening for diseases of the spleen by assessing blood cell counts and other relevant markers."
"3C0Y,3C0Y,Other specified diseases of the blood or blood-forming organs",,,"The available features include key hematological parameters such as white blood cell count, red blood cell count, hemoglobin, hematocrit, and various white blood cell differentials (lymphocytes, monocytes, neutrophils, eosinophils, basophils). These parameters can help identify abnormalities in blood or blood-forming organs, which are essential for screening for various blood disorders."
"3C0Z,3C0Z,""Diseases of the blood or blood-forming organs, unspecified",,,"The available features include key hematological parameters such as white blood cell count, red blood cell count, hemoglobin, hematocrit, and platelet count, which are essential for screening various blood disorders. These features can help identify abnormalities indicative of diseases of the blood or blood-forming organs."
