code,parent_code,name,possibility,medical_reasoning
"3A51.5,3A51,Haemoglobin C disease",,,Possible,"Key hematological features such as hemoglobin (LBXHGB), red blood cell count (LBXRBCSI), mean cell volume (LBXMCVSI), and red cell distribution width (LBXRDW) are available, which can help identify abnormalities associated with Hemoglobin C disease."
"3A51.6,3A51,Haemoglobin D disease",,,Possible,"Key hematological features such as hemoglobin (LBXHGB), red blood cell count (LBXRBCSI), mean cell volume (LBXMCVSI), and red cell distribution width (LBXRDW) are available, which can help identify abnormalities associated with Hemoglobin D disease."
"3A51.7,3A51,High affinity haemoglobin",,,Not Possible,"Key signals for high affinity hemoglobin disorders, such as specific hemoglobin electrophoresis results or genetic testing for hemoglobin variants, are not available in the listed features."
"3A51.8,3A51,Low affinity haemoglobin",,,Possible,"The available features include hemoglobin levels (LBXHGB), red blood cell count (LBXRBCSI), hematocrit (LBXHCT), and mean cell volume (LBXMCVSI), which are critical for assessing low affinity hemoglobin conditions. These parameters can help identify abnormalities in red blood cell function and oxygen transport, thus enabling screening for low affinity hemoglobin disorders."
"3A51.9,3A51,Haemoglobin O disease",,,Possible,"Key hematological features such as hemoglobin (LBXHGB), red blood cell count (LBXRBCSI), and mean cell volume (LBXMCVSI) are available, which can help identify abnormalities associated with Hemoglobin O disease. These features can be used to screen for the disease by assessing hemoglobin variants and red cell indices, thus allowing for a meaningful assessment of disease likelihood."
"3A51.A,3A51,Haemoglobin E disease",,,Possible,"Key hematological features such as hemoglobin (LBXHGB), red blood cell count (LBXRBCSI), mean cell volume (LBXMCVSI), and red cell distribution width (LBXRDW) are available, which can help identify abnormalities associated with Hemoglobin E disease."
"3A51.B,3A51,Haemoglobin C/beta thalassaemia compound heterozygosity",,,Possible,"The available features include key hematological parameters such as hemoglobin (LBXHGB), red blood cell count (LBXRBCSI), mean cell volume (LBXMCVSI), and red cell distribution width (LBXRDW), which can help identify abnormalities associated with hemoglobin C/beta thalassemia. These features can be used to screen for the disease by assessing the presence of microcytic anemia and other hematological changes typical of thalassemia syndromes."
"3A51.Y,3A51,Other specified sickle cell disorders or other haemoglobinopathies",,,Possible,"The available features include key hematological parameters such as hemoglobin (LBXHGB), red blood cell count (LBXRBCSI), hematocrit (LBXHCT), and red cell distribution width (LBXRDW), which are essential for screening sickle cell disorders and other hemoglobinopathies. These features can help identify anemia and abnormal red blood cell morphology indicative of such conditions."
"3A51.Z,3A51,""Sickle cell disorders or other haemoglobinopathies, unspecified""",,,Possible,"Key hematological features such as hemoglobin (LBXHGB), hematocrit (LBXHCT), red blood cell count (LBXRBCSI), and red cell distribution width (LBXRDW) are available, which can help identify abnormalities associated with sickle cell disorders. These features can be used to screen for anemia and abnormal hemoglobin profiles indicative of hemoglobinopathies."
"3A60.0,3A60,Congenital non-inherited pure red cell aplasia",,,Possible,"The available features include key hematological parameters such as red blood cell count (LBXRBCSI), hemoglobin (LBXHGB), hematocrit (LBXHCT), and red cell distribution width (LBXRDW), which are essential for screening pure red cell aplasia. These features can help identify significant anemia and abnormal red cell indices, which are indicative of the condition."
"3A60.1,3A60,Hereditary pure red cell aplasia",,,Possible,"The available features include key hematological parameters such as red blood cell count (LBXRBCSI), hemoglobin (LBXHGB), hematocrit (LBXHCT), and red cell distribution width (LBXRDW), which are essential for screening red cell aplasia. These features can help identify abnormalities in red blood cell production and support a probabilistic model for assessing the likelihood of hereditary pure red cell aplasia."
"3A60.Z,3A60,""Congenital pure red cell aplasia, unspecified""",,,Possible,"The available features include key hematological parameters such as red blood cell count (LBXRBCSI), hemoglobin (LBXHGB), hematocrit (LBXHCT), and red cell distribution width (LBXRDW), which are essential for screening congenital pure red cell aplasia. These features can help identify anemia and abnormal red cell indices, which are indicative of this condition."
"3A61.0,3A61,Acute acquired pure red cell aplasia",,,Possible,"The available features include key hematological parameters such as red blood cell count (LBXRBCSI), hemoglobin (LBXHGB), hematocrit (LBXHCT), and red cell distribution width (LBXRDW), which are essential for screening acute acquired pure red cell aplasia. These features can help identify significant anemia and changes in red cell production, which are indicative of the disease."
"3A61.1,3A61,Chronic acquired pure red cell aplasia",,,Possible,"The available features include key hematological parameters such as red blood cell count (LBXRBCSI), hemoglobin (LBXHGB), hematocrit (LBXHCT), and red cell distribution width (LBXRDW), which are essential for screening and assessing red cell aplasia. These features can help identify anemia and changes in red cell production, which are critical in evaluating chronic acquired pure red cell aplasia."
"3A61.Y,3A61,Other specified acquired pure red cell aplasia",,,Possible,"The available features include key hematological parameters such as red blood cell count (LBXRBCSI), hemoglobin (LBXHGB), hematocrit (LBXHCT), and red cell distribution width (LBXRDW), which are essential for screening pure red cell aplasia. These features can help identify anemia and changes in red blood cell production, which are critical for assessing this condition."
"3A61.Z,3A61,""Acquired pure red cell aplasia, unspecified""",,,Possible,"The available features include key hematological parameters such as red blood cell count (LBXRBCSI), hemoglobin (LBXHGB), hematocrit (LBXHCT), and red cell distribution width (LBXRDW), which are essential for screening and assessing anemia, including conditions like acquired pure red cell aplasia. These features can help identify significant deviations from normal values indicative of the disease."
"3A70.0,3A70,Congenital aplastic anaemia",,,Possible,"The available features include key hematological parameters such as white blood cell count (LBXWBCSI), red blood cell count (LBXRBCSI), hemoglobin (LBXHGB), hematocrit (LBXHCT), and platelet count (LBXPLTSI), which can help identify cytopenias characteristic of congenital aplastic anemia. These features can be used to build a probabilistic model to assess the likelihood of the disease."
"3A70.1,3A70,Acquired aplastic anaemias",,,Possible,"The available features include key hematological parameters such as white blood cell count (LBXWBCSI), red blood cell count (LBXRBCSI), hemoglobin (LBXHGB), hematocrit (LBXHCT), and platelet count (LBXPLTSI), which are essential for screening aplastic anemia. These features can help identify cytopenias characteristic of the disease, thus enabling a probabilistic model for screening."
"3A70.10,3A70,Drug-induced aplastic anaemia",,,Possible,"The available features include key hematological parameters such as white blood cell count (LBXWBCSI), red blood cell count (LBXRBCSI), hemoglobin (LBXHGB), hematocrit (LBXHCT), and platelet count (LBXPLTSI), which can help identify cytopenias characteristic of drug-induced aplastic anemia. However, the absence of specific drug exposure history or genetic markers limits the assessment's precision."
"3A70.11,3A70,Aplastic anaemia due to other external agents",,,Possible,"Aplastic anemia can be screened using features such as white blood cell count (LBXWBCSI), red blood cell count (LBXRBCSI), hemoglobin (LBXHGB), hematocrit (LBXHCT), and platelet count (LBXPLTSI). These hematological parameters can indicate cytopenias characteristic of aplastic anemia. However, the absence of specific tests for bone marrow function or exposure history limits the assessment's precision."
"3A70.12,3A70,Idiopathic aplastic anaemia",,,Possible,"Key hematological features such as white blood cell count (LBXWBCSI), red blood cell count (LBXRBCSI), hemoglobin (LBXHGB), hematocrit (LBXHCT), and platelet count (LBXPLTSI) are available, which can help identify cytopenias characteristic of aplastic anemia. However, the absence of bone marrow analysis or specific genetic markers limits definitive diagnosis but does not preclude screening for likelihood assessment."
"3A70.1Y,3A70,Other specified acquired aplastic anaemias",,,Possible,"The available features include key hematological parameters such as white blood cell count (LBXWBCSI), red blood cell count (LBXRBCSI), hemoglobin (LBXHGB), hematocrit (LBXHCT), and platelet count (LBXPLTSI), which can help identify cytopenias characteristic of aplastic anemia. These features can be used to screen for the likelihood of the disease by assessing peripheral blood counts and morphology, which are critical in diagnosing aplastic anemia."
"3A70.1Z,3A70,""Acquired aplastic anaemias, unspecified""",,,Possible,"Key hematological parameters such as white blood cell count (LBXWBCSI), red blood cell count (LBXRBCSI), hemoglobin (LBXHGB), hematocrit (LBXHCT), and platelet count (LBXPLTSI) are available, which can help identify cytopenias characteristic of acquired aplastic anemia."
"3A70.Z,3A70,""Aplastic anaemia, unspecified""",,,Possible,"Aplastic anemia can be screened using features such as white blood cell count (LBXWBCSI), red blood cell count (LBXRBCSI), hemoglobin (LBXHGB), hematocrit (LBXHCT), and platelet count (LBXPLTSI). These hematological parameters can indicate cytopenias characteristic of aplastic anemia, allowing for a meaningful assessment of disease likelihood."
"3A71.0,3A71,Anaemia in neoplastic disease",,,Possible,"The available features include key hematological parameters such as hemoglobin (LBXHGB), red blood cell count (LBXRBCSI), hematocrit (LBXHCT), and red cell distribution width (LBXRDW), which are essential for screening anemia. Additionally, the presence of white blood cell count (LBXWBCSI) and other blood cell parameters can help assess the underlying neoplastic process. However, the absence of specific markers for neoplastic disease (e.g., tumor markers or imaging) limits the specificity of the assessment."
"3A71.1,3A71,Anaemia in chronic infectious diseases",,,Possible,"The available features include key hematological parameters such as hemoglobin (LBXHGB), red blood cell count (LBXRBCSI), hematocrit (LBXHCT), and red cell distribution width (LBXRDW), which are essential for screening anemia. Additionally, white blood cell count (LBXWBCSI) and differential counts can help assess underlying infectious processes contributing to chronic anemia."
"3A71.2,3A71,Anaemia in chronic kidney disease",,,Possible,"Key hematological parameters such as hemoglobin (LBXHGB), red blood cell count (LBXRBCSI), hematocrit (LBXHCT), and red cell distribution width (LBXRDW) are available, which are essential for screening anemia. Additionally, creatinine (LBXSCR) is crucial for assessing kidney function, which is directly related to anemia in chronic kidney disease."
"3A71.Y,3A71,Anaemia due to other specified chronic disease",,,Possible,"The available features include key hematological parameters such as hemoglobin (LBXHGB), hematocrit (LBXHCT), red blood cell count (LBXRBCSI), and red cell distribution width (LBXRDW), which are essential for screening anemia. Additionally, the presence of white blood cell count (LBXWBCSI) and other blood cell parameters can help assess underlying chronic diseases contributing to anemia."
"3A71.Z,3A71,""Anaemia due to chronic disease, unspecified""",,,Possible,"The available features include key hematological parameters such as hemoglobin (LBXHGB), hematocrit (LBXHCT), red blood cell count (LBXRBCSI), and red cell distribution width (LBXRDW), which are essential for screening anemia. Additionally, the presence of inflammatory markers like albumin (LBXSAL) can help assess chronic disease status, making it feasible to screen for anemia due to chronic disease."
"3A72.0,3A72,Congenital sideroblastic anaemias",,,Possible,"The available features include key hematological parameters such as hemoglobin (LBXHGB), red blood cell count (LBXRBCSI), mean cell volume (LBXMCVSI), and red cell distribution width (LBXRDW), which are essential for screening and assessing anemia, including congenital sideroblastic anemias. However, the absence of specific iron studies (e.g., serum ferritin, transferrin saturation) limits the ability to fully characterize the iron metabolism abnormalities typically associated with this condition. Despite this, the existing features can still provide a reasonable basis for screening."
"3A72.00,3A72,Hereditary sideroblastic anaemias",,,Possible,"The available features include key hematological parameters such as hemoglobin (LBXHGB), red blood cell count (LBXRBCSI), mean cell volume (LBXMCVSI), and red cell distribution width (LBXRDW), which are essential for screening and assessing anemia, including hereditary sideroblastic anemias. However, the absence of specific iron studies (e.g., serum ferritin, transferrin saturation) limits the ability to definitively diagnose the type of anemia, but screening for anemia is still feasible."
"3A72.01,3A72,Hereditary syndromic sideroblastic anaemia",,,Not Possible,"Key signals for hereditary syndromic sideroblastic anemia, such as specific iron studies (e.g., serum ferritin, transferrin saturation), genetic testing for mutations, and bone marrow examination for ringed sideroblasts, are missing. The available features do not provide sufficient information to screen or assess likelihood effectively."
"3A72.0Y,3A72,Other specified congenital sideroblastic anaemias",,,Possible,"The available features include key hematological parameters such as hemoglobin (LBXHGB), red blood cell count (LBXRBCSI), mean cell volume (LBXMCVSI), and red cell distribution width (LBXRDW), which are essential for screening and assessing anemia, including congenital sideroblastic anemia. However, the absence of specific iron studies (e.g., serum ferritin, transferrin saturation) limits the ability to fully characterize the iron metabolism abnormalities typically associated with sideroblastic anemia. Despite this, the existing features can still provide a reasonable basis for screening."
"3A72.0Z,3A72,""Congenital sideroblastic anaemias, unspecified""",,,Possible,"The available features include key hematological parameters such as hemoglobin (LBXHGB), red blood cell count (LBXRBCSI), mean cell volume (LBXMCVSI), and red cell distribution width (LBXRDW), which are essential for screening and assessing anemia, including congenital sideroblastic anemia. However, the absence of specific iron studies (e.g., serum ferritin, transferrin saturation) limits the ability to fully characterize the iron metabolism abnormalities typically associated with this condition. Despite this limitation, the existing features can still provide a reasonable basis for screening."
"3A72.1,3A72,Acquired sideroblastic anaemias",,,Possible,"The available features include key hematological parameters such as hemoglobin (LBXHGB), red blood cell count (LBXRBCSI), mean cell volume (LBXMCVSI), and red cell distribution width (LBXRDW), which are essential for screening anemia, including acquired sideroblastic anemias. However, the absence of specific iron studies (e.g., serum ferritin, transferrin saturation) limits the ability to definitively assess iron metabolism abnormalities typically associated with sideroblastic anemia. Despite this, the existing features can still provide a reasonable basis for initial screening and likelihood assessment."
"3A72.Z,3A72,""Sideroblastic anaemia, unspecified""",,,Possible,"Key hematological features such as hemoglobin (LBXHGB), red blood cell count (LBXRBCSI), mean cell volume (LBXMCVSI), and red cell distribution width (LBXRDW) are available, which can help identify abnormalities associated with sideroblastic anemia. However, iron studies (e.g., serum iron, ferritin) are not listed, which are typically crucial for a definitive assessment of sideroblastic anemia. Despite this, the available features can still provide a reasonable basis for screening."
"3A80.0,3A80,Primary inherited erythrocytosis",,,Possible,"The available features include key hematological parameters such as red blood cell count (LBXRBCSI), hemoglobin (LBXHGB), and hematocrit (LBXHCT), which are essential for screening erythrocytosis. These features can help identify elevated red cell mass indicative of primary inherited erythrocytosis."
"3A80.Y,3A80,Other specified congenital polycythaemia",,,Possible,"The available features include key hematological parameters such as red blood cell count (LBXRBCSI), hemoglobin (LBXHGB), and hematocrit (LBXHCT), which are essential for screening polycythemia. These features can help identify elevated red cell mass indicative of congenital polycythemia."
"3A80.Z,3A80,""Congenital polycythaemia, unspecified""",,,Possible,"The available features include key hematological parameters such as red blood cell count (LBXRBCSI), hemoglobin (LBXHGB), and hematocrit (LBXHCT), which are essential for screening polycythemia. These features can help identify elevated red cell mass indicative of congenital polycythemia."
"3A81.0,3A81,""Polycythaemia due to hypoxia, including high altitude""",,,Possible,"The available features include key hematological parameters such as red blood cell count (LBXRBCSI), hemoglobin (LBXHGB), and hematocrit (LBXHCT), which are essential for identifying polycythemia. Additionally, demographic features like age (RIDAGEYR) and gender (RIAGENDR) can help stratify risk. However, the absence of direct measures of oxygen saturation or altitude exposure limits the assessment's specificity. Nonetheless, the hematological features allow for a reasonable screening approach for polycythemia due to hypoxia."
"3A81.1,3A81,Polycythaemia due to over-transfusion or blood doping",,,Possible,"The available features include key hematological parameters such as red blood cell count (LBXRBCSI), hemoglobin (LBXHGB), and hematocrit (LBXHCT), which are essential for identifying polycythemia. These features can help assess the likelihood of polycythemia due to over-transfusion or blood doping, as they provide critical information on erythrocyte mass and oxygen-carrying capacity."
"3A81.2,3A81,Relative polycythaemia",,,Possible,"Relative polycythemia can be assessed using available features such as red blood cell count (LBXRBCSI), hemoglobin (LBXHGB), and hematocrit (LBXHCT), which are critical for evaluating erythrocytosis. These features allow for the identification of elevated red cell mass, a key indicator of the condition."
"3A81.Y,3A81,Other specified acquired polycythaemia",,,Possible,"The available features include key hematological parameters such as red blood cell count (LBXRBCSI), hemoglobin (LBXHGB), and hematocrit (LBXHCT), which are essential for screening polycythemia. These features can help identify elevated red cell mass indicative of polycythemia, thus allowing for a meaningful assessment of disease likelihood."
"3A81.Z,3A81,""Acquired polycythaemia, unspecified""",,,Possible,"The available features include key hematological parameters such as red blood cell count (LBXRBCSI), hemoglobin (LBXHGB), and hematocrit (LBXHCT), which are essential for screening polycythemia. These features can help identify elevated red cell mass indicative of acquired polycythemia."
"3A8Z,3A8Z,""Polycythaemia, unspecified""",,,Possible,"Key hematological parameters such as red blood cell count (LBXRBCSI), hemoglobin (LBXHGB), and hematocrit (LBXHCT) are available, which are essential for screening polycythaemia. These features can help identify elevated red cell mass indicative of the condition."
"3A90,3A90,Anaemia due to acute disease",,,Possible,"The available features include key hematological parameters such as hemoglobin (LBXHGB), hematocrit (LBXHCT), red blood cell count (LBXRBCSI), and white blood cell count (LBXWBCSI), which are essential for screening anemia. These features can help identify acute disease-related anemia by assessing changes in these values, thus allowing for a meaningful screening process."
"3A91,3A91,Congenital methaemoglobinaemia",,,Not Possible,"Key signals for congenital methaemoglobinaemia, such as methemoglobin levels or specific genetic markers, are not included in the available features."
"3A92,3A92,Hereditary methaemoglobinaemia",,,Not Possible,"Key signals for hereditary methaemoglobinaemia, such as methemoglobin levels or specific genetic markers, are not included in the available features. The listed hematological parameters do not provide sufficient information to screen for this condition."
"3A93,3A93,Acquired methaemoglobinaemia",,,Not Possible,"Key signals for screening acquired methemoglobinemia, such as methemoglobin levels or specific exposure history (e.g., drugs or chemicals), are not included in the available features."
"3A94,3A94,Acute posthaemorrhagic anaemia",,,Possible,"The available features include key hematological parameters such as hemoglobin (LBXHGB), hematocrit (LBXHCT), red blood cell count (LBXRBCSI), and red cell distribution width (LBXRDW), which are essential for screening and assessing anemia. These features can help identify acute posthaemorrhagic anemia by indicating low hemoglobin levels and changes in red blood cell indices."
"3A9Y,3A9Y,Other specified anaemias or erythrocyte disorders",,,Possible,"The available features include key hematological parameters such as hemoglobin (LBXHGB), red blood cell count (LBXRBCSI), hematocrit (LBXHCT), mean cell volume (LBXMCVSI), and red cell distribution width (LBXRDW), which are essential for screening various anemias. These features can help assess the likelihood of anemia and differentiate between types, thus enabling a meaningful screening process."
"3A9Z,3A9Z,""Anaemias or other erythrocyte disorders, unspecified""",,,Possible,"The available features include key hematological parameters such as hemoglobin (LBXHGB), hematocrit (LBXHCT), red blood cell count (LBXRBCSI), and red cell distribution width (LBXRDW), which are essential for screening various anemias. These features can help assess erythrocyte disorders and provide a basis for further evaluation."
"3B10.0,3B10,Haemophilia A",,,Not Possible,"Key signals for screening Haemophilia A, such as factor VIII activity levels or specific genetic testing for mutations in the F8 gene, are not included in the available features."
"3B10.1,3B10,Hereditary factor VIII deficiency with anti-factor VIII inhibitor",,,Not Possible,"Key signals for screening hereditary factor VIII deficiency with anti-factor VIII inhibitor, such as specific factor VIII activity assays and inhibitor testing, are not available in the listed features."
"3B10.Y,3B10,Other specified hereditary factor VIII deficiency",,,Not Possible,"Key signals for screening hereditary factor VIII deficiency, such as specific factor VIII activity assays or genetic testing for mutations in the F8 gene, are not available in the listed features."
"3B10.Z,3B10,""Hereditary factor VIII deficiency, unspecified""",,,Not Possible,"Key signals for screening hereditary factor VIII deficiency, such as specific factor VIII activity levels or genetic testing for mutations in the F8 gene, are not available in the listed features."
"3B11.0,3B11,Haemophilia B",,,Not Possible,"Key signals for screening Haemophilia B, such as specific factor IX activity levels or genetic testing for mutations in the F9 gene, are not available in the listed features."
"3B11.Y,3B11,Other specified hereditary factor IX deficiency",,,Not Possible,"Key signals for screening hereditary factor IX deficiency, such as specific coagulation factor assays (e.g., factor IX activity), are missing. The available features do not include relevant hematological parameters or genetic testing necessary for effective screening."
"3B11.Z,3B11,""Hereditary factor IX deficiency, unspecified""",,,Not Possible,"Key signals for screening hereditary factor IX deficiency, such as specific coagulation factor assays (e.g., factor IX activity), are missing. The available features do not include relevant hematological parameters or genetic markers necessary for effective screening."
"3B12,3B12,Von Willebrand disease",,,Not Possible,"Von Willebrand disease screening typically requires specific tests for von Willebrand factor levels and activity, as well as factor VIII levels, which are not included in the available features. The listed hematological parameters do not provide sufficient information to assess the likelihood of this bleeding disorder."
"3B13,3B13,Haemophilia C",,,Not Possible,"Key signals for screening Haemophilia C, such as specific factor XI activity levels or genetic testing for mutations in the F11 gene, are not available in the listed features."
"3B14.0,3B14,Hereditary deficiency of factor I",,,Not Possible,"Key signals for screening hereditary deficiency of factor I, such as specific factor I activity assays or genetic testing, are not available in the listed features. The available hematological parameters do not provide sufficient information to assess this condition."
"3B14.1,3B14,Hereditary factor X deficiency",,,Not Possible,"Key signals for hereditary factor X deficiency, such as specific coagulation factor assays (e.g., factor X activity), are missing. The available features do not include any coagulation parameters necessary for screening or assessing bleeding disorders."
"3B14.2,3B14,Combined deficiency of vitamin K-dependent clotting factors",,,Not Possible,"Key signals for screening combined deficiency of vitamin K-dependent clotting factors, such as prothrombin time (PT) and specific vitamin K levels, are missing. The available features do not include coagulation parameters necessary for assessing this condition."
"3B14.Z,3B14,Other inherited coagulation factor deficiency with bleeding tendency, unspecified",,,Not Possible,"Key signals for inherited coagulation factor deficiencies, such as specific factor levels (e.g., Factor VIII, Factor IX), are missing. The available features do not include coagulation studies or specific bleeding disorder markers necessary for screening."
"3B15,3B15,Inherited coagulation factor deficiency without bleeding tendency",,,Not Possible,"Key signals for inherited coagulation factor deficiencies, such as specific factor assays (e.g., Factor VIII, Factor IX levels), are missing. The available features do not provide the necessary hematological parameters to assess coagulation factor levels or function."
"3B20,3B20,Disseminated intravascular coagulation",,,Not Possible,"Key signals for disseminated intravascular coagulation (DIC) such as fibrinogen levels, D-dimer, and specific coagulation factors are missing. The available features do not provide sufficient information to assess coagulation status or the presence of DIC."
"3B21.0,3B21,Haemorrhage due to thrombin inhibitor other than heparin",,,Not Possible,"Key signals such as specific coagulation parameters (e.g., thrombin time, anti-Xa levels) and clinical history of anticoagulant use are missing, which are essential for screening and assessing the likelihood of hemorrhage due to thrombin inhibitors."
"3B21.1,3B21,Haemorrhage due to factor Xa inhibitor",,,Not Possible,"Key signals for screening hemorrhage due to factor Xa inhibitors, such as specific coagulation tests (e.g., anti-Xa levels, PT/INR, aPTT), are missing. The available features do not provide sufficient information to assess bleeding risk or anticoagulation status."
"3B21.Y,3B21,Haemorrhagic disorder due to other specified circulating anticoagulants",,,Not Possible,"Key signals such as specific coagulation factor levels, presence of circulating anticoagulants, or specific tests for bleeding disorders are missing. The available features do not provide the necessary information to assess the likelihood of hemorrhagic disorders due to circulating anticoagulants."
"3B21.Z,3B21,Haemorrhagic disorder due to unspecified circulating anticoagulants",,,Not Possible,"Key signals for screening hemorrhagic disorders due to circulating anticoagulants, such as specific coagulation tests (e.g., PT, aPTT, specific inhibitor assays), are missing. The available features do not provide sufficient information to assess bleeding risk or anticoagulant presence."
"3B22,3B22,Acquired haemophilia",,,Not Possible,"Acquired hemophilia is characterized by the presence of inhibitors against clotting factors, particularly factor VIII. Key diagnostic features such as specific factor assays (e.g., factor VIII activity, inhibitor testing) and clinical bleeding history are essential for screening, which are not included in the available NHANES features."
"3B2Y,3B2Y,Other specified haemorrhagic diseases due to acquired coagulation factor defects",,,Not Possible,"Key signals for screening acquired coagulation factor defects, such as specific factor assays (e.g., Factor VIII, Factor IX levels) and functional assays (e.g., PT, aPTT), are missing. The available features do not provide sufficient information to assess coagulation status or factor deficiencies."
"3B50.0,3B50,Congenital alpha-2 antiplasmin deficiency",,,Not Possible,"Key signals for screening congenital alpha-2 antiplasmin deficiency, such as specific functional assays for alpha-2 antiplasmin levels or genetic testing, are missing. The available features do not provide the necessary information to assess the likelihood of this deficiency."
"3B50.1,3B50,Congenital plasminogen activator inhibitor type 1 deficiency",,,Not Possible,"Key signals for screening congenital plasminogen activator inhibitor type 1 deficiency, such as specific genetic testing or functional assays to measure plasminogen activator inhibitor levels, are not available in the listed features."
"3B50.Y,3B50,Other specified inherited fibrinolytic defects",,,Not Possible,"Key signals for inherited fibrinolytic defects, such as specific fibrinolytic enzyme activity assays (e.g., plasminogen levels, tissue plasminogen activator), are not available in the listed features."
"3B50.Z,3B50,Inherited fibrinolytic defects, unspecified",,,Not Possible,"Inherited fibrinolytic defects require specific assays to evaluate fibrinolytic activity, such as plasminogen levels, fibrinogen levels, and specific clotting factor assays, which are not included in the available features."
"3B51,3B51,Acquired fibrinolytic defects",,,Not Possible,"Acquired fibrinolytic defects require specific markers such as D-dimer levels or fibrinogen levels to assess fibrinolytic activity, which are not included in the available features."
"3B60.0,3B60,Hereditary vascular purpura",,,Not Possible,"Key signals for hereditary vascular purpura, such as specific genetic markers or tests for von Willebrand factor levels, are not included in the available features."
"3B60.1,3B60,Acquired vascular purpura",,,Not Possible,"Key signals for acquired vascular purpura, such as specific platelet function tests, coagulation profiles, or markers of vascular integrity, are missing. The available features do not provide sufficient information to assess the likelihood of this condition."
"3B61.0,3B61,Hereditary thrombophilia",,,Not Possible,"Key signals for hereditary thrombophilia, such as specific genetic markers (e.g., Factor V Leiden, Prothrombin mutation) and functional assays (e.g., activated protein C resistance), are not available in the listed features."
"3B61.00,3B61,Hyperhomocysteinaemia",,,Not Possible,"Hyperhomocysteinaemia is primarily assessed through serum homocysteine levels, which are not included in the available features. Without this key analyte, screening for the condition is not feasible."
"3B61.0Y,3B61,Other specified hereditary thrombophilia",,,Not Possible,"Key signals for hereditary thrombophilia, such as genetic markers (e.g., factor V Leiden, prothrombin mutation) and specific coagulation tests (e.g., protein C, protein S, antithrombin levels), are missing from the available features."
"3B61.0Z,3B61,Hereditary thrombophilia, unspecified",,,Not Possible,"Key signals for hereditary thrombophilia, such as genetic testing for specific mutations (e.g., Factor V Leiden, Prothrombin gene mutation) and functional assays (e.g., activated protein C resistance), are not available in the listed features."
"3B61.1,3B61,Acquired thrombophilia",,,Not Possible,"Key signals for acquired thrombophilia, such as specific coagulation factor levels (e.g., antiphospholipid antibodies, protein C, protein S, and antithrombin), are missing. The available features do not provide sufficient information to assess thrombotic risk or diagnose acquired thrombophilia."
"3B61.Y,3B61,Other specified thrombophilia",,,Not Possible,"Key signals for thrombophilia screening, such as genetic markers (e.g., Factor V Leiden, prothrombin mutation) and specific coagulation tests (e.g., antiphospholipid antibodies, protein C/S levels), are missing from the available features."
"3B61.Z,3B61,Thrombophilia, unspecified",,,Not Possible,"Key signals for thrombophilia screening, such as specific coagulation factor levels (e.g., Factor V Leiden, prothrombin mutation), antiphospholipid antibodies, and genetic testing, are not available in the listed features."
"3B62.0,3B62,Inherited qualitative platelet defects",,,Possible,"The available features include platelet count (LBXPLTSI) and mean platelet volume (LBXMPSI), which are critical for assessing qualitative platelet defects. These features can help identify abnormalities in platelet function and morphology, allowing for a meaningful screening approach."
"3B62.00,3B62,Alpha-granule diseases",,,Not Possible,"Key signals for alpha-granule diseases, such as specific platelet function tests or genetic markers, are missing. The available features do not provide sufficient information to screen or assess the likelihood of this disease."
"3B62.01,3B62,Inherited giant platelet disorder",,,Possible,"The available features include platelet count (LBXPLTSI) and mean platelet volume (LBXMPSI), which are critical for screening inherited giant platelet disorders. These features can help identify abnormalities in platelet size and number, which are key indicators of the condition. Other hematological parameters such as white blood cell count and red blood cell indices may also provide supportive information."
"3B62.0Y,3B62,Other specified inherited qualitative platelet defects",,,Possible,"The available features include platelet count (LBXPLTSI) and mean platelet volume (LBXMPSI), which are critical for assessing qualitative platelet defects. These features can help identify abnormalities in platelet function and morphology, allowing for a meaningful screening approach for inherited qualitative platelet defects."
"3B62.0Z,3B62,Inherited qualitative platelet defects, unspecified",,,Possible,"The available features include platelet count (LBXPLTSI) and mean platelet volume (LBXMPSI), which are critical for assessing platelet function and identifying qualitative platelet defects. These features can help differentiate between normal and abnormal platelet function, thus enabling screening for inherited qualitative platelet defects."
"3B62.1,3B62,Bleeding diathesis due to thromboxane synthesis deficiency",,,Not Possible,"Key signals for screening thromboxane synthesis deficiency, such as platelet function tests (e.g., platelet aggregation studies) and specific biochemical markers related to thromboxane metabolism, are missing. The available features do not provide sufficient information to assess bleeding diathesis related to thromboxane synthesis."
"3B62.2,3B62,Isolated thrombocytopenia",,,Possible,"The available features include platelet count (LBXPLTSI) and mean platelet volume (LBXMPSI), which are critical for assessing thrombocytopenia. Additionally, the complete blood count parameters (e.g., white blood cell count, hemoglobin) can help rule out other hematological conditions. Thus, a screening model can be constructed to assess the likelihood of isolated thrombocytopenia."
"3B62.3,3B62,Dense granule disease",,,Not Possible,"Dense granule disease is a type of platelet storage pool disorder, which typically requires specific platelet function tests or genetic testing to diagnose. The available NHANES features do not include any specific tests for platelet function or granule content, making screening for this condition not feasible."
"3B62.4,3B62,Alpha-delta dense granule deficiency",,,Not Possible,"Alpha-delta dense granule deficiency is characterized by specific platelet function abnormalities and granule deficiencies, which require specialized tests such as platelet aggregation studies and electron microscopy for diagnosis. The available NHANES features do not include any specific tests for platelet function or granule content, making screening for this condition not feasible."
